Month	Location	Units In	Inbound Revenue	Units Out	Outbound Revenue	1st of Storage Rev	Reoccurring Units	Reoccurring Storage Rev	Accesorial Charges	Handling Revenue	Total Revenue	Fixed Cost	Forklift Cost	Warehouse Supplies	Total Variable Cost	Number ManHours	Hourly Labor Cost	Management Cost	Total Labor Cost	Total Cost	Margin	Margin %
Mar-25	4414 WHEELER	0	$0.00 	0	$0.00 	$35,788.62 	0	$0.00 	$0.00 	$0.00 	$35,788.62 	$19,731.16 	$527.00 	$1,054.00 	$1,581.00 	0	$0.00 	$646.03 	$646.03 	$21,958.19 	$13,830.43 	38.64%
Mar-25	AYERS ROAD	178	$925.60 	7265	$7,628.25 	$0.00 	0	$0.00 	$0.00 	$0.00 	$8,553.85 	$15,371.95 	$382.50 	$765.00 	$1,147.50 	192	$4,633.62 	$0.00 	$4,633.62 	$21,153.08 	($12,599.23)	-147.29%
Mar-25	SONOCO	0	$0.00 	5639	$32,182.85 	$0.00 	0	$0.00 	$0.00 	$0.00 	$32,182.85 	$0.00 	$1,964.50 	$982.25 	$2,946.75 	982.25	$18,473.31 	$1,615.07 	$20,088.38 	$23,035.13 	$9,147.72 	28.42%
Mar-25	VAN BUREN	1779	$8,042.55 	1098	$2,953.62 	$28,057.47 	0	$0.00 	$730.00 	$0.00 	$39,783.64 	$18,649.56 	$442.00 	$884.00 	$1,326.00 	357	$3,911.71 	$5,555.83 	$9,467.54 	$29,443.10 	$10,340.54 	25.99%
Mar-25	3333 ZERO	266	$322.00 	0	$0.00 	$21,504.00 	0	$0.00 	$0.00 	$0.00 	$22,956.80 	$12,979.30 	$405.45 	$810.90 	$1,216.35 	278	$2,151.38 	$5,814.24 	$7,965.62 	$22,161.28 	$795.52 	3.47%
Mar-25	TULSA ST	0	$0.00 	0	$0.00 	$18,372.69 	0	$0.00 	$0.00 	$0.00 	$18,372.69 	$13,929.81 	$0.00 	$0.00 	$0.00 	0	$0.00 	$646.03 	$646.03 	$14,575.84 	$3,796.85 	20.67%
Apr-25	5TH STREET	1388	$6,940.00 	1997	$0.00 	$30,275.52 	1388	$6,315.40 	$0.00 	$0.00 	$43,530.92 	$39,675.97 	$1,173.00 	$2,346.00 	$3,519.00 	340	$4,432.61 	$3,045.56 	$7,478.17 	$50,673.14 	($7,142.22)	-16.41%
Apr-25	5TH 3109	533	$1,332.50 	423	$1,057.50 	$18,480.00 	0	$0.00 	$621.00 	$0.00 	$21,491.00 	$14,968.52 	$390.15 	$780.30 	$1,170.45 	49	$193.22 	$1,353.58 	$1,546.80 	$17,685.77 	$3,805.23 	17.71%
Apr-25	501 FRESNO	1897	$9,485.00 	934	$0.00 	$16,082.44 	1897	$8,631.35 	$0.00 	$0.00 	$34,198.79 	$12,369.38 	$322.15 	$644.30 	$966.45 	152.25	$3,080.21 	$2,233.41 	$5,313.62 	$18,649.45 	$15,549.34 	45.47%
Apr-25	1400 S 6TH	816	$4,153.26 	13918	$15,285.45 	$62,589.34 	72	$288.00 	$5,511.88 	$0.00 	$87,827.93 	$48,569.40 	$1,266.50 	$2,533.00 	$3,799.50 	729	$12,234.08 	$6,497.19 	$18,731.27 	$71,100.17 	$16,727.75 	19.05%
Apr-25	NISSAN	8583	$71,793.51 	9307	$4,113.00 	$84,349.10 	0	$0.00 	$37,542.04 	$0.00 	$197,797.65 	$52,452.45 	$1,801.15 	$3,602.30 	$5,403.45 	3,994.00	$65,408.05 	$26,597.86 	$92,005.91 	$149,861.81 	$47,935.84 	24.23%
Apr-25	NEWLON RD	0	$0.00 	352	$0.00 	$76,849.96 	0	$0.00 	$0.00 	$0.00 	$76,849.96 	$54,581.86 	$1,423.75 	$2,847.50 	$4,271.25 	470	$6,127.14 	$7,580.05 	$13,707.19 	$72,560.30 	$4,289.66 	5.58%
